ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,"Gdzie ""panieńskim rumieńcem dzięcielina pała""?","w ""Panu Tadeuszu"" ","w ""Dziadach"" ","w ""Konradzie Wallenrodzie"" ","w ""Kordianie"" ",3
2,Biała gorączka to też: ,fryzjerska czupurność ,szewska pasja,zduńska wola ,kucharska zajadłość ,2
3,Jaki kształt ma kabestan? ,stożka,walca,półkuli,sześcianu,2
4,Który z kierunków świata zainspirował Kim Kardashian do nadania imienia córce? ,wschód,zachód,północ,południe,3
5,Wokół jeziora Druzno rozciąga się największy obszar: ,apatyczny ,depresyjny ,nostalgiczny ,melancholijny ,2
6,"Życzę Ci, droga zawodniczko, żeby wszystkie pytania w programie były proste jak budowa: ",cepa,kosy,radia,gracy,1
7,Co zakochani ryją na parkowych ławkach? ,serca przebite strzałą,krwawiącą wątrobę ,podziurawiony mózg,uśmiechnięty żołądek ,1
8,Kogo - gdyby mogła - nazwałaby mamą kijanka? ,krokodylice ,żółwicę,żmije,żabę,4
9,Co łączy żebra po stronie brzusznej? ,mostek,kładka,molo,pomost,1
10,"Krótkie łapy, wydłużony tułów i długie, zwisające uszy to charakterystyczne cechy: ",bernardyna,boksera,bulteriera ,basseta,4
