ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,Które z wymienionych to hiszpańskie Złote Wybrzeże? ,Costa del Sol ,Costa Dorada ,Costa Brava ,Costa Blanca ,2
2,"”Twój Vincent”, polsko-brytyjski pełnometrażowy film animowany, opowiada o: ",francuskim aktorze,holenderskim malarzu ,szczycie w Alpach ,miejscowości w Alabamie ,2
3,Czego dotyczy afera Paradise Papers? ,fałszowania polis na życie ,niepłacenia podatków ,giełdowych szwindli ,kupczenia rozgrzeszeniem ,2
4,"Bierzcie i jedzcie z tego wszyscy: to jest bowiem Ciało Moje, które za was będzie wydane”. Te słowa padają podczas mszy na pamiątkę: ",przemienienia na górze Tabor  ,ostatniej wieczerzy ,wskrzeszenia Łazarza,wesela w Kanie Galilejskiej,2
5,"Prekursor genetyki zakonnik Gregor Mendel prowadził doświadczenia, krzyżując: ",konie z osłami  ,kaczki krzyżówki ,psy pasterskie  ,groch siewny,4
6,Co nie jest prawdą o nitroglicerynie? ,jest związkiem nitrowym ,jest wrażliwa na uderzenia ,rozszerza naczynia żylne ,rozkurcza mięśnie gładkie ,1
7,Jaką fryzurę ma komiksowy Gal Obeliks? ,czarne loki ,blond grzywę ,rude warkocze ,siwy koński ogon ,3
8,Jaką imprezę sportową w kwietniu 2013 r. w Bostonie przerwał atak terrorystyczny? ,turniej szachowy ,Super Bowl ,rozgrywki hokeja ,maraton ,4
9,Klasyczne ostre koło to typ roweru: ,bez wolnobiegu ,z przerzutkami ,na grubych oponach ,górskiego ,1
10,"Nazwa której broni pochodzi od łacińskiej sentencji, która po polsku brzmi: Jeśli chcesz pokoju, gotuj się do wojny? ",Browning M1900 ,AK-46 ,Mauser C96 ,Parabellum P 08 ,4
