ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,Jakie zwierzęta wyposażone są w kądziołki ? ,nietoperze ,kameleony ,modliszki ,pająki,4
2,Co nie jest ogrodzeniem ? ,ostrokół ,palisada ,zarzuel,zeriba ,3
3,Jakiego rodzaju artylerii użyli prawdopodobnie Krzyżacy w bitwie pod Grunwaldem ? ,haubic ,bombar,zenitówek ,pancerzownic ,2
4,Od końca XIX wieku kwintal liczył: ,10 kg ,100 kg,150 kg ,200 kg ,2
5,Co przypomina odgłos wydawany przez hienę ? ,mlaskanie ,chichot,mruczenie ,sapanie ,2
6,Powiedzenie „dziesiąta woda po kisielu” oznacza: ,mdły smak ,coś bardzo rzadkiego ,odległe pokrewieństwo,coś niesmacznego ,3
7,Ile „ramion” ma ośmiornica ? ,trzy ,pięć ,osiem,dwanaście ,3
8,W jakiej dyscyplinie sportowej Artur Partyka zdobył tytuł mistrza Europy w 1998 roku ? ,w skoku w wzwyż,w pchnięciu kulą ,w żeglarstwie ,w judo ,1
9,Z jakim ssakiem spokrewniony jest bizon ? ,z jeleniem ,z łosiem ,z sarną ,z żubrem,4
10,Jakiego koloru jest łódź podwodna w piosence zespołu The Beatles ? ,białego ,czarnego ,żółtego,niebieskiego ,3
