ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,Najbardziej ”zakręcona” polska wokalistka to: ,Reni Jusis,Maryla Rodowicz ,Katarzyna Skrzynecka ,Agnieszka Chylińska ,1
2,Przeciwieństwem ascety jest: ,pokutnik ,sybaryta,biczownik ,męczennik ,2
3,Tak zwana dziura ozonowa to spadek zawartości ozonu: ,w oceanach ,w litosferze ,w atmosferze,w przestrzeni kosmicznej ,3
4,Który z podanych terminów nie określa części mózgu ? ,błona podstawna,szyszynka ,wzgórze ,przysadka ,1
5,"W piłce ręcznej zawodnicy, poza bramkarzem, nie mogą dotykać piłki: ",odbitej przez przeciwnika ,głową ,tułowiem ,nogą poniżej kolana,4
6,W wojskach lądowych jedna gwiazdka na pagonie oznacza: ,kaprala ,chorążego,sierżanta ,plutonowego ,2
7,Ile naturalnych satelitów ma Ziemia ? ,jednego,dwóch ,trzech ,czterech ,1
8,"”Nie rzucim ziemi, skąd nasz ród...” – tak zaczyna się: ",”Warszawianka” ,"”Boże, cos Polskę” ",”Pierwsza Brygada” ,”Rota”,4
9,Jakiego koloru nie ma na fladze Belgii ? ,żółtego ,niebieskiego,czarnego ,czerwonego ,2
10,"Urządzenie na pokładzie samolotu, pomagające ustalić przyczyny ewentualnej katastrofy to: ",trymer ,blue box ,czarna skrzynka,wolant ,3
