ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,Kto okulizuje? ,okulista  ,optyk  ,okularnik  ,sadownik  ,4
2,Autodafe to z portugalskiego: ,warsztat samochodowy ,miejsce poza linią boiska ,wyznanie wiary ,samostanowienie ,3
3,"Jakie dwa miasta łączy most Glienicke, na którym strony zimnej wojny dokonywały wymian schwytanych przez siebie agentów? ",Berlin i Lipsk ,Berlin i Poczdam ,Berlin i Wrocław ,Frankfurt nad Odrą i Słubice ,2
4,"Zgromadzenie obywateli w miastach-państwach starożytnej Grecji, a także zdawkowa moneta to agora. W jakim państwie? ",w Izraelu ,w Grecji ,w Estonii ,w Słowenii ,1
5,"W co zagrał Napoleon Bonaparte z Mechanicznym Turkiem, stworzonym przez Wolfganga von Kempelena? ",w chowanego ,w pikuty ,w piłkę ręczną ,w szachy ,4
6,CPK to sztandarowa inwestycja infrastrukturalna rządu PiS planowana we wsi Stanisławów. Co znaczy jej skrót?  ,Cyfrowy Punkt Kontroli ,Centralny Port Komunikacyjny ,Czołowa Placówka Karna ,Całodobowa Przychodnia Katolicka ,2
7,"Który z tych czasowników sensownie połączysz z rzeczownikiem ""trudności""? ",raić ,rekomendować  ,nastręczać  ,swatać  ,3
8,"W czyim filmie padają słowa: ""Czujesz to? To napalm, synu. Nic na świecie tak nie pachnie. Uwielbiam zapach napalmu o poranku""? ",Francisa Forda Coppoli ,Woody'ego Allena ,braci Coen ,Federica Felliniego ,1
9,Kamień filozoficzny to legendarna substancja zmieniająca: ,pytania w odpowiedzi ,prostaczków w filozofów ,metale nieszlachetne w złoto ,kamienie w uczone księgi ,3
10,"Pod koniec września 2017 r. media donosiły, że kobiety w Arabii Saudyjskiej w końcu będą mogły: ",chodzić same do kina ,zakładać bikini na plażę ,prowadzić auto ,rzucić w kąt abaje ,3
