ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,Która afera wymagała od naczelnego ”Gazety Wyborczej” obsługi aż dwóch dyktafonów? ,afera gruntowa ,afera Olina ,afera Rywina ,seksafera w Samoobronie ,3
2,Wynik którego działania to apokaliptyczna liczba Bestii? ,111+222 ,2x333 ,666-444 ,33! ,2
3,Chopper to przerobiony: ,stary przebój ,motocykl ,skórzany płaszcz ,moszcz z owoców ,2
4,Jakiego koloru skórę ma większość bohaterów serii kreskówek ”Simpsonowie”? ,żółtego ,szarego ,niebieskiego ,różowego ,1
5,Na fladze którego kraju widnieje przyprawa do pasztetu? ,Hiszpanii,Grenady ,Chin ,Szwecji ,2
6,"Na klawiaturze QWERTY dioda zapali się, gdy naciśniemy: ",backspace ,delete ,alt ,caps lock ,4
7,Żywo reaguje na komendę daj głos. ,pies ,wyborca ,lektor ,lektor,1
8,Trunek dobry na frasunek najprędzej znajdziemy: ,w bidonie ,w menażce ,w probówce ,w piersiówce ,4
9,Z czego zrobiona jest płyta OSB? ,z tłucznia ceramicznego ,z gruzu budowlanego ,z polichlorku winylu ,z wiórów drzewnych ,4
10,"Teleskop Hubble'a wyniesiono na orbitę okołoziemską w roku, w którym PZPR zakończyła działalność. Ile to lat temu?  ",57,43,27,12,3
