ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,"VAT to podatek od towarów i usług, tak zwany podatek od wartości:",odjętej ,pomnożonej ,podzielonej  ,dodanej ,4
2,Które miasto zostało stolicą najpóźniej?,Astana,Ankara,Helsinki,Tirana,1
3,Przed czym kroczy pycha?,przed łakomstwem ,przed upadkiem ,przed otyłością ,przed zdradą ,2
4,"Pachnie awarią auta, jak słychać szczęk hamulcowych:",szczęk ,żuchw ,zębów ,karabinów ,1
5,"Na czym są chowane ”delikatne, rumiane jak chleb” Słowianki z piosenki Cleo i Donatana? ",na swojskiej śmietanie ,na skocznych oberkach ,na klechdach ,na rosole z okami ,1
6,Gdzie można napotkać żywą paginę?  ,w morskich odmętach ,w książce ,w cyrku ,w ściółce leśnej ,2
7,Którego ze środków komunikacji miejskiej nie było w Polsce do 1995 roku?,tramwaju ,metra,trolejbusu ,autobusu miejskiego ,2
8,"Bieguny magnesu z lekcji fizyki oznaczone są zwykle dwoma kolorami, niebieskim i: ",zielonym ,brązowym ,czerwonym ,szarym ,3
9,Czym zabita jest pipidówka?,gwoździami ,nożem ,widłami,dechami ,4
10,Tak zwany koc przeciwwstrząsowy stosowany w medycynie ratunkowej wykonany jest:,z angory ,z tworzywa sztucznego ,z jedwabiu ,z surowego lnu ,2
