ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,"Żeby zrobić kogel-mogel, musisz mieć: ",śmietanę  ,jajka  ,tartą bułkę ,makaron  ,2
2,Czyją wiadomość dostarczył ministrowi Mariuszowi Błaszczakowi minister Jan Szyszko 13 czerwca 2017 r.?  ,zięcia pilarza ,córki leśniczego ,syna drwala ,wnuka gajowego,2
3,Które góry leżą tylko w Polsce?  ,samopowtarzalne ,samobieżne  ,samonośne  ,samonaprawialne  ,3
4,Które góry leżą tylko w Polsce?  ,Sudety ,Bieszczady  ,Beskidy  ,Góry Świętokrzyskie ,4
5,Suma wszystkich liczb w ruletce daje tak zwaną liczbę: ,anioła  ,bestii  ,człowieka  ,smoka  ,2
6,"W piosence J. Połomskiego ”(...) nigdy nie wie, oj, nie wie się, czy dobrze jest, czy może jest, może jest już źle”:  ",z dziewczynami ,ze zdrowiem ,z robotą ,z kasą ,1
7,"Jeśli obwiedziemy grządki miedzianą taśmą, na roślinach nie będą żerować: ",ślimaki ,szpaki  ,mszyce  ,chrząszcze  ,1
8,"Bywa, że młoda mama czuje baby: ",bluesa  ,jazz  ,rocka  ,country  ,1
9,Kara dla Syzyfa to: ,wtaczanie głazu na szczyt  ,wybieranie maku z popiołu  ,noszenie płonącej koszuli ,uprzątanie stajni ,1
10," Mormorando, które jest rodzajem akompaniamentu, to:  ",ciche tony fletu ,szelest marakasów ,rzewna gra skrzypiec ,śpiew z zamkniętymi ustami ,4
