ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,Profiterolki: ,mają trzy kółka i hamulec ,nawijamy na szpule ,tną bobiny papieru ,nadziewamy bitą śmietaną ,4
2,W Adwencie podczas mszy ksiądz zakłada zwykle fioletową szatę liturgiczną. Jaką zakłada najczęściej w Wielkim Poście? ,białą ,też fioletową ,czerwoną ,zieloną ,2
3,"Ponieważ babcia Czerwonego Kapturka niedomagała, wnuczka niosła jej: ",bulion warzywny ,placek i butelkę wina ,ryż na mleku ,kataplazmy i orzechówkę ,2
4,Którego prezydenta miał dotknąć w 1999 r. w Charkowie pourazowy zespół przeciążeniowy goleni prawej? ,Andrzeja Dudę ,Bronisława Komorowskiego ,Lecha Wałęsę ,Aleksandra Kwaśniewskiego ,4
5,Które z wymienionych w ciągu ostatnich 30 lat prawie wyschło? ,Morze Kaspijskie ,Jezioro Aralskie ,Morze Czarne ,jezioro Tanganika ,2
6,"Pełnił podwójną funkcję, był jednocześnie premierem i ministrem spraw wewnętrznych. ", Ignacy Paderewski ,Władysław Szpilman ,Witold Lutosławski  ,Wojciech Kilar ,1
7,"Na jakim instrumencie grywa Włóczykij, bohater serii o Muminkach? ",na ukulele ,na saksofonie ,na harmonice szklanej ,na organkach ,4
8,"Jakie drzewo łączy rewersy jednego grosza, dwu i pięciu? ",dąb  ,śliwa  ,platan  ,baobab  ,1
9,Do ”Forever 27 Club” nie trafi dwudziestosiedmioletni muzyk: ,jeśli jest rockmanem ,póki żyje ,jeśli jest utalentowany ,jeśli jest znany ,2
10,"Które zwierzę buduje ”spiżarnie” i gromadzi w nich setki żywych, ale unieruchomionych dżdżownic z odgryzionymi elementami głowowymi? ",kret  ,bóbr  ,nornik  ,nornica  ,1
