ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,Kanał Sueski stanowi umowną granicę między: ,Amerykami ,Afryką i Azj,Australią i Azją ,Kanadą i Grenlandią ,2
2,Jak w krawiectwie nazywa się rodzaj zapięcia działającego na zasadzie wtyczki i gniazda ? ,'zatrzask' ,rzep ,suwak ,haftka ,2
3,"W którym filmie Romana Polańskiego, Mia Farrow spodziewa się dziecka diabła ? ",„Lokator” ,„Wstręt” ,„Matnia” ,„Dziecko Rosemary”,4
4,Kim według mitów greckich byli cyklopi ? ,żeglarzami ,władcami mórz ,jednookimi olbrzymam,bogami ,3
5,Kto stoi na czele korpusu dyplomatycznego akredytowanego w danym państwie ? ,dzieka,dyrektor ,rektor ,minister ,1
6,Konik morski to: ,szkarłupień ,ryb,mięczak ,głowonóg ,2
7,"Sprawy codzienne, przyziemne to: ",chleb kamienny ,chleb świętojański ,chleb żałobny ,chleb powszedni,4
8,Gdzie w 1963 roku zastrzelono J. F. Kennedy’ego ? ,w Los Angeles ,w Dallas,w Atlancie ,w Phoenix ,2
9,W jaki sposób do lata zmierzała wokalistka zespołu Bajm – Beata Kozidrak ? ,piechotą,kajakiem ,autostopem ,hulajnogą ,1
10,Ilu było jeźdźców Apokalipsy ? ,dwóch ,trzech ,czterech,pięciu ,3
