ID,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECT_ANSWER
1,Jak nazywa się znak w notacji muzycznej obniżający dźwięk o pół tonu ? ,synkopa ,krzyżyk ,bemo,fermata ,3
2,"Piana z białek rozbita z cukrem i zapieczona w słodkie, białe ciastko to: ",makagigi ,strudel ,ptyś ,beza,4
3,Bez której z wymienionych przypraw nie może się obejść grzane wino ? ,bez chili ,bez cynamonu,bez piołunu ,bez curry ,2
4,Wianek panny młodej ozdobiony był dawniej: ,anyżkiem ,rutą,miętą ,macierzanką ,2
5,Które z podanych spodni są najdłuższe ? ,dzwony,szorty ,pludry ,bermudy ,1
6,Które z podanych miast leży nad Dunajem ? ,Nowy Targ ,Nowy Sad,Nowy Sącz ,Nowy Staw ,2
7,Szkarlatyna to inaczej: ,koklusz ,grypa ,płonica,malaria ,3
8,Czego nie produkują pszczoły ? ,mleczka ,kitu ,wosku ,nektaru,4
9,Kto porwał Piękną Helenę w utworze Homera pt. ”Iliada” ? ,Agamemnon ,Achilles ,Parys,Hektor ,3
10,Kim był Louis Armstrong ? ,trębaczem jazzowym,astronautą ,pisarzem ,konstruktorem ,1
